TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,FCEVAPIN,FCEVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,MEATPAN,AMBLEFTTOP,AMBLEFT,AMBLEFTBOT,AMBRIGHTTOP,AMBRIGHT,AMBRIGHTBOT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC Evaporator Inlet,FC Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Meat Pan,Ambient Left Top,Ambient Left Middle,Ambient Left Bot,Ambient Right Top,Ambient Right Middle,Ambient Right Bot,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT,W Dispensing Heater
0:00:08,2,0.54,114.9,22.10,13.82,0.00000,60.00,24.69,62.46,89.90,-999.00,-999.00,0.000000,-6.96,-11.66,33.10,27.27,25.17,23.09,14.84,63.73,62.50,61.16,56.21,91.09,89.89,88.91,90.84,89.90,88.81,100.89,164.31,112.79,113.41,105.98,137.27,155.37,30.6,1,2,64.94,38.30,3.56,56.30,87.80,38.48,0.00,0.00,100.00,2.00,150.00,2.00,60.00,-999.00,0.00,0.00,1.00,1.00,1.00,0.00,10.00,10.30,0.00,16.00,0.00,41.00,37.40,1.40,-5.80,33.80,32.00,32.00
0:01:03,2,0.54,114.9,21.20,13.09,0.00179,60.00,25.10,62.46,89.90,-999.00,-999.00,0,-8.05,-13.04,33.50,27.81,25.51,23.46,15.22,63.76,62.50,61.13,56.35,91.10,89.90,88.91,90.86,89.90,88.89,101.29,163.42,112.17,112.81,106.37,137.92,154.41,30.7,1,2,64.94,38.00,0.64,56.42,87.80,38.48,0,0,100.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,10.00,0,16.00,0,41.00,37.40,1.40,-5.80,33.80,32.00,32.00
0:01:46,2,0.53,115.0,20.00,12.47,0.00362,60.00,25.28,62.44,89.90,-999.00,-999.00,0,-9.20,-14.59,33.77,28.16,25.70,23.67,15.45,63.74,62.50,61.08,56.39,91.10,89.90,88.90,90.85,89.89,88.87,101.10,163.46,111.85,112.52,105.63,138.18,154.08,30.7,1,2,64.94,37.76,-1.30,56.48,87.90,38.48,0,0,100.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,9.80,0,16.00,0,41.00,37.40,1.40,-5.80,33.80,32.00,32.00
0:02:37,2,0.53,115.0,20.00,12.37,0.00531,60.00,25.57,62.43,89.89,-999.00,-999.00,0,-10.49,-14.80,34.08,28.57,25.92,23.93,15.74,63.71,62.50,61.04,56.47,91.11,89.89,88.90,90.86,89.89,88.88,101.18,162.69,111.30,111.98,105.34,138.54,153.07,30.7,1,2,64.94,37.45,-2.69,56.48,88.00,38.48,0,0,100.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,9.40,0,16.00,0,41.00,37.40,1.40,-5.80,33.80,32.00,32.00
0:03:30,2,0.53,115.0,19.30,11.72,0.00699,60.00,25.95,62.41,89.90,-999.00,-999.00,0,-12.38,-17.58,34.57,29.17,26.28,24.29,16.17,63.70,62.53,60.97,56.60,91.11,89.90,88.93,90.87,89.91,88.89,101.08,161.98,110.73,111.38,104.64,138.99,152.03,30.7,1,2,64.94,37.17,-4.11,56.55,87.98,38.48,0,0,100.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,9.30,0,16.00,0,41.00,37.40,1.40,-5.80,33.80,32.00,32.00
0:04:18,2,0.52,115.0,18.30,11.18,0.00856,60.00,26.38,62.38,89.92,-999.00,-999.00,0,-14.96,-20.01,35.04,29.75,26.58,24.63,16.54,63.69,62.54,60.85,56.72,91.13,89.91,88.93,90.89,89.91,88.93,100.98,160.62,109.90,110.58,103.74,139.42,150.22,30.7,1,2,64.96,37.04,-5.60,56.66,87.96,38.48,0,0,100.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,9.20,0,16.00,0,41.00,37.40,1.40,-5.80,33.80,32.00,32.00
0:05:10,2,0.54,114.9,20.20,12.15,0.01010,60.00,26.71,62.36,89.92,-999.00,-999.00,0,-16.55,-21.41,35.35,30.09,26.78,24.82,16.82,63.69,62.58,60.82,56.83,91.15,89.94,88.95,90.90,89.91,88.92,101.02,159.41,109.17,109.88,103.06,139.66,148.58,30.7,1,2,65.02,36.96,-6.58,56.66,87.98,38.48,0,30.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,11.50,0,16.00,0,40.32,36.74,0.98,-6.14,33.80,32.00,34.00
0:05:57,2,0.56,115.0,24.90,15.72,0.01214,60.00,27.10,62.33,89.92,-999.00,-999.00,0,-12.82,-15.82,35.39,30.69,27.21,25.25,17.70,63.65,62.57,60.74,56.95,91.15,89.94,88.95,90.91,89.92,88.94,99.75,164.10,109.87,110.61,104.30,140.34,152.41,30.8,1,2,64.71,37.54,-10.59,56.66,87.96,38.48,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,12.70,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:06:46,2,0.57,115.0,27.20,17.42,0.01443,60.00,27.38,62.28,89.93,-999.00,-999.00,0,-3.32,-4.96,34.74,30.88,27.49,25.50,18.40,63.57,62.51,60.72,57.04,91.15,89.93,88.99,90.92,89.93,88.96,97.79,171.39,113.48,114.48,107.17,141.44,161.25,30.8,1,2,63.60,38.41,-6.91,56.66,87.98,38.48,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,13.00,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
