TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Pantry 1 CTR,Pantry 2 RT Rear,Pantry 3 FT Right,Pantry 4 FT Left,Pantry 5 Rear CTR,FC Basket 1,FC Basket 2,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT
0:00:05,2,0.55,115.1,7.60,4.82,0.00000,60.02,-7.33,33.01,70.00,-999.00,-999.00,0,-22.42,-21.92,-6.36,-8.59,-9.49,-8.08,-4.13,30.57,33.69,34.77,35.80,40.54,70.12,69.88,71.90,81.25,74.69,108.76,80.20,72.54,80.25,95.97,96.71,1.30,-8.89,37.83,37.87,38.14,37.70,37.50,-8.12,-7.94,0.0,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:51,1,0.44,115.2,0.90,0.45,0.00068,60.02,-7.36,33.03,69.99,-999.00,-999.00,0,-22.30,-21.37,-6.38,-8.62,-9.50,-8.11,-4.15,30.62,33.69,34.77,35.83,40.54,70.11,69.88,71.91,80.92,74.72,108.30,80.10,72.54,80.14,95.97,96.45,1.33,-8.78,37.83,37.87,38.14,37.72,37.50,-8.14,-7.96,0,1,2,32.00,-6.88,-21.64,36.86,71.42,43.34,0,80.00,80.00,1.00,60.00,1.00,20.00,-999.00,0,0,1.00,0,0,0,3.20,2.20,1.00,16.00,0,32.00,28.58,-7.06,-11.38,39.02,37.40
0:01:04,4,1.00,115.1,31.50,36.28,0.00106,60.01,-6.95,33.04,70.00,-999.00,-999.00,0,-21.13,-20.24,-5.78,-7.77,-8.67,-7.62,-3.90,30.65,33.71,34.80,35.83,40.54,70.12,69.91,72.13,79.26,75.34,106.07,79.37,72.44,79.38,96.21,95.80,3.17,-2.81,37.83,37.88,38.14,37.71,37.50,-7.86,-7.86,0,1,2,31.82,-6.88,-21.64,36.86,71.42,43.34,0,80.00,50.00,1.00,30.00,1.00,20.00,-999.00,0,0,0,0,0,0,0,16.60,1.00,16.00,0,32.00,28.58,5.36,1.04,39.02,37.40
0:01:52,4,1.00,115.2,31.40,36.26,0.00576,59.99,-6.41,33.06,69.99,-999.00,-999.00,0,-16.85,-16.37,-5.06,-7.17,-8.15,-7.43,-3.75,30.69,33.74,34.83,35.83,40.54,70.12,69.88,72.44,76.98,78.12,101.44,78.37,73.23,78.24,97.39,93.36,6.90,-2.26,37.83,37.87,38.14,37.71,37.50,-7.55,-7.65,0,1,2,32.00,-6.47,-20.69,36.86,71.40,43.65,1.00,0,0,1.00,0,1.00,20.00,-999.00,0,0,0,0,0,5.00,0.30,0.30,0,1.90,1.00,32.00,32.00,6.98,5.00,32.00,32.00
0:02:38,4,1.00,115.2,31.20,35.96,0.01067,59.99,-6.22,33.09,69.99,-999.00,-999.00,0,-12.11,-12.39,-4.71,-6.97,-7.96,-7.36,-3.72,30.75,33.74,34.83,35.83,40.54,70.12,69.88,72.56,74.60,81.15,97.07,77.26,73.51,77.56,97.83,89.48,6.74,-5.55,37.83,37.87,38.15,37.73,37.50,-7.44,-7.56,0,1,2,32.00,-6.11,-17.94,36.86,71.14,43.52,1.00,0,0,1.00,0,1.00,20.00,-999.00,0,0,0,0,0,5.00,0.30,0.30,0,1.90,1.00,32.00,32.00,6.98,5.00,32.00,32.00
0:03:34,4,1.00,115.2,31.10,35.84,0.01578,59.99,-6.04,33.13,69.99,-999.00,-999.00,0,-8.03,-6.41,-4.35,-6.78,-7.77,-7.21,-3.66,30.79,33.80,34.83,35.83,40.55,70.10,69.88,72.62,71.27,82.71,94.30,75.98,72.28,77.10,97.54,86.01,6.81,-6.02,37.83,37.87,38.16,37.74,37.50,-7.35,-7.47,0,1,2,32.00,-5.82,-13.56,36.86,70.92,43.56,1.00,0,0,1.00,0,1.00,20.00,-999.00,0,0,0,0,0,5.00,0.40,0.40,0,1.90,1.00,32.00,32.00,6.98,5.00,32.00,32.00
0:04:24,4,1.00,115.1,31.10,35.74,0.02066,59.98,-5.86,33.15,69.98,-999.00,-999.00,0,-1.95,1.82,-4.00,-6.61,-7.54,-7.13,-3.61,30.85,33.82,34.85,35.84,40.55,70.07,69.88,72.64,66.19,83.41,92.51,74.57,71.47,76.30,97.18,83.27,7.02,-5.86,37.83,37.87,38.16,37.75,37.50,-7.24,-7.39,0,1,2,32.14,-5.52,-9.78,36.86,70.88,43.86,1.00,0,0,1.00,0,1.00,20.00,-999.00,0,0,0,0,0,5.00,0.40,0.40,0,1.90,1.00,32.00,32.00,6.98,5.00,32.00,32.00
0:05:14,4,1.00,115.1,31.00,35.70,0.02577,59.98,-5.69,33.19,69.97,-999.00,-999.00,0,6.23,10.26,-3.67,-6.45,-7.38,-6.99,-3.55,30.91,33.84,34.86,35.85,40.56,70.07,69.86,72.34,64.07,83.65,91.20,73.57,70.79,75.64,96.81,81.14,7.26,-5.54,37.83,37.87,38.18,37.75,37.50,-7.14,-7.27,0,1,2,32.28,-5.28,-4.43,36.91,70.85,43.88,1.00,0,0,1.00,0,1.00,20.00,-999.00,0,0,0,0,0,5.00,0.40,0.40,0,1.90,1.00,32.00,32.00,6.98,5.00,32.00,32.00
0:06:04,4,1.00,115.1,31.00,35.70,0.03064,59.98,-5.51,33.22,69.97,-999.00,-999.00,0,13.81,17.88,-3.34,-6.28,-7.19,-6.84,-3.50,30.98,33.86,34.86,35.87,40.56,70.07,69.86,72.10,64.47,83.72,90.25,73.13,70.87,75.23,96.50,79.49,7.50,-5.23,37.83,37.87,38.21,37.75,37.50,-6.99,-7.16,0,1,2,32.45,-5.04,2.25,37.04,70.74,43.88,1.00,0,0,1.00,0,1.00,20.00,-999.00,0,0,0,0,0,5.00,0.40,0.40,0,1.90,1.00,32.00,32.00,6.98,5.00,32.00,32.00
