TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,WTRVESSEL,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Pantry 1 CTR,Pantry 2 RT Rear,Pantry 3 FT Right,Pantry 4 FT Left,Pantry 5 Rear CTR,FC Basket 1,FC Basket 2,Water Vessel,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT
0:00:00,2,0.56,114.9,7.350,4.74,0.0000,60.02,-2.77,34.75,50.40,-999.00,-999.00,0,-17.86,-13.27,-0.90,-4.37,-4.49,-3.72,-0.36,33.03,34.80,36.43,37.83,36.80,50.38,50.42,66.10,63.36,56.28,85.23,60.93,51.85,62.69,72.12,75.67,-11.48,-8.07,35.08,35.32,35.53,35.80,33.10,-3.93,-3.39,40.13,68.5,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:50,2,0.56,114.9,7.370,4.75,0.0007,60.01,-2.81,34.74,50.38,-999.00,-999.00,0,-17.91,-13.34,-1.11,-4.48,-4.54,-3.74,-0.33,32.98,34.78,36.38,37.83,36.80,50.34,50.42,66.08,63.35,56.30,85.27,60.90,51.80,62.69,72.20,75.68,-11.55,-8.13,35.08,35.32,35.57,35.80,33.14,-3.95,-3.40,40.13,68.5,1,2,30.56,-4.10,-14.54,32.31,59.39,44.42,0,80.00,80.00,2.00,60.00,1.00,60.00,-999.00,0,0,0,1.00,0,0,0,24.60,0.60,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:00:56,1,0.46,114.9,0.860,0.45,0.0008,60.01,-2.84,34.72,50.40,-999.00,-999.00,0,-17.87,-13.36,-1.13,-4.51,-4.58,-3.74,-0.32,32.98,34.77,36.38,37.83,36.80,50.37,50.43,66.09,63.38,56.34,85.29,60.92,51.81,62.72,72.27,75.69,-11.61,-8.19,35.08,35.32,35.58,35.81,33.19,-3.98,-3.43,40.10,68.5,1,2,30.56,-4.18,-14.62,32.36,59.36,44.42,0,80.00,80.00,2.00,60.00,1.00,60.00,-999.00,0,0,0,1.00,0,0,0,24.60,0.60,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:01:47,1,0.46,115.0,0.890,0.47,0.0009,59.99,-2.90,34.70,50.40,-999.00,-999.00,0,-14.74,-13.17,-1.32,-4.62,-4.65,-3.79,-0.32,32.97,34.75,36.38,37.82,36.78,50.39,50.42,61.91,61.01,57.26,80.57,60.67,51.77,60.83,72.81,74.34,-11.62,-8.28,35.08,35.33,35.58,35.80,33.22,-4.01,-3.45,40.10,68.6,1,2,30.38,-4.27,-14.39,32.36,59.36,44.42,0,80.00,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,0,0,24.60,0.60,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:02:37,1,0.31,115.0,0.500,0.18,0.0009,60.00,-2.95,34.70,50.41,-999.00,-999.00,0,-9.98,-11.01,-1.40,-4.67,-4.57,-3.80,-0.31,32.98,34.74,36.38,37.81,36.78,50.39,50.42,59.03,58.55,59.62,74.85,58.69,55.06,59.21,73.23,70.86,-11.33,-8.15,35.10,35.35,35.58,35.81,33.27,-4.04,-3.47,40.09,68.5,1,2,30.42,-4.40,-12.92,32.52,59.32,44.42,0,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,0,0,24.50,0.60,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:03:27,1,0.31,115.0,0.500,0.18,0.0009,60.02,-2.91,34.70,50.40,-999.00,-999.00,0,-8.00,-9.47,-1.30,-4.60,-4.46,-3.78,-0.29,33.00,34.74,36.39,37.78,36.78,50.38,50.45,57.07,57.02,61.20,71.62,56.99,54.59,58.44,73.07,67.64,-10.82,-7.94,35.13,35.36,35.59,35.83,33.34,-3.99,-3.46,40.08,68.6,1,2,30.58,-4.41,-11.27,32.58,59.16,44.42,0,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,0,0,24.50,0.60,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:04:17,1,0.31,115.0,0.500,0.18,0.0010,60.01,-2.88,34.70,50.39,-999.00,-999.00,0,-7.03,-8.79,-1.22,-4.56,-4.41,-3.75,-0.31,32.97,34.77,36.40,37.76,36.78,50.34,50.42,55.86,56.14,61.98,69.60,55.98,53.14,57.79,72.78,65.07,-10.26,-7.90,35.14,35.37,35.60,35.83,33.39,-3.94,-3.47,40.04,68.7,1,2,30.82,-4.51,-9.68,32.72,59.00,44.57,0,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,0,0,24.50,0.60,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:05:07,1,0.31,115.0,0.500,0.18,0.0010,59.99,-2.83,34.70,50.38,-999.00,-999.00,0,-5.89,-8.00,-1.13,-4.52,-4.32,-3.75,-0.31,32.97,34.74,36.43,37.74,36.78,50.35,50.42,55.11,55.70,62.40,68.29,55.38,52.25,57.26,72.50,63.04,-9.73,-7.84,35.16,35.39,35.63,35.86,33.45,-3.91,-3.46,40.04,68.7,1,2,31.08,-4.38,-8.52,32.72,59.00,44.60,0,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,0,0,24.60,0.60,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:05:57,1,0.31,115.1,0.500,0.18,0.0010,60.02,-2.79,34.71,50.37,-999.00,-999.00,0,-5.44,-7.04,-1.01,-4.49,-4.28,-3.74,-0.31,32.98,34.74,36.43,37.72,36.78,50.34,50.40,54.56,55.36,62.62,67.35,54.94,51.78,56.77,72.20,61.42,-9.26,-7.76,35.17,35.42,35.64,35.86,33.52,-3.89,-3.45,40.01,68.8,1,2,31.23,-4.34,-7.80,32.72,59.00,44.60,0,0,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,0,0,24.60,0.60,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
