TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,AIRRETURNDUCT,WATERTUBECABBOTRT,WATERRESERVOIRINLET,WATERESERVOIRBOTLT,WATERRESERVOIROUTLET,WATERTUBECENTER,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Air Return Duct,Water Tube Cab Bot RT,Water Reservoir Inlet,Water Reservoir Bot LT,Water Reservoir Outlet,Water Tube Center,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT,W Dispensing Heater
0:00:06,1,0.31,115.1,0.830,0.30,0.0000,60.00,-1.59,36.99,71.44,-999.00,-999.00,0.000000,0.43,0.92,2.30,-3.46,-3.87,-2.11,-0.80,36.14,37.76,37.07,36.44,37.36,72.03,70.86,67.56,63.59,82.61,84.39,73.96,74.50,73.06,90.70,73.24,11.96,-0.78,35.29,39.05,37.65,35.61,35.03,35.95,0.0,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:57,1,0.31,115.1,0.830,0.30,0.0000,60.00,-1.52,37.02,71.45,-999.00,-999.00,0,0.54,1.06,2.60,-3.26,-3.75,-2.03,-0.80,36.20,37.82,37.07,36.37,37.33,72.02,70.88,68.30,63.60,82.51,84.25,73.97,74.51,73.01,90.62,73.19,12.15,-0.61,35.33,39.05,37.65,35.64,35.03,36.02,0,1,2,36.50,-0.69,1.96,38.84,72.32,36.32,0,30.00,0,1.00,0,2.00,60.00,-999.00,0,0,0,0,1.00,0,1.40,1.30,0.10,16.00,0,37.76,34.16,-0.04,-4.36,37.40,35.42,37.40
0:01:46,1,0.31,115.2,0.830,0.30,0.0001,60.02,-1.37,37.03,71.52,-999.00,-999.00,0,0.78,1.29,2.90,-3.11,-3.56,-1.93,-0.80,36.20,37.82,37.07,36.39,37.35,72.09,70.96,69.95,63.57,82.41,84.11,74.00,74.58,72.92,90.47,73.05,12.42,-0.42,35.37,39.04,37.65,35.65,35.04,36.01,0,1,2,36.50,-0.44,2.17,38.84,72.32,36.32,0,30.00,0,1.00,0,2.00,60.00,-999.00,0,0,0,0,1.00,0,1.60,1.50,0.10,16.00,0,37.76,34.16,-0.04,-4.36,37.40,35.42,37.40
0:02:37,1,0.31,115.2,0.840,0.30,0.0001,60.00,-1.21,37.04,71.58,-999.00,-999.00,0,1.01,1.57,3.20,-2.96,-3.36,-1.83,-0.70,36.20,37.82,37.07,36.38,37.35,72.19,71.02,70.58,63.50,82.30,84.02,74.05,74.59,72.84,90.22,72.94,12.71,-0.22,35.40,39.03,37.62,35.68,35.10,36.02,0,1,2,36.60,-0.27,2.41,38.84,72.40,36.32,0,30.00,0,1.00,0,2.00,60.00,-999.00,0,0,0,0,1.00,0,1.70,1.60,0.10,16.00,0,37.76,34.16,-0.04,-4.36,37.40,35.42,37.40
0:03:26,1,0.31,115.2,0.830,0.30,0.0002,60.02,-1.07,37.05,71.64,-999.00,-999.00,0,1.26,1.79,3.40,-2.81,-3.17,-1.83,-0.70,36.29,37.82,37.07,36.41,37.37,72.19,71.15,70.80,63.49,82.19,83.87,74.06,74.60,72.81,90.02,72.85,13.00,0.03,35.42,38.99,37.61,35.70,35.12,35.99,0,1,2,36.68,-0.04,2.66,38.88,72.37,36.32,0,30.00,0,1.00,0,2.00,60.00,-999.00,0,0,0,0,1.00,0,2.00,1.90,0.10,16.00,0,37.76,34.16,-0.04,-4.36,37.40,35.42,37.40
0:04:07,2,0.65,115.0,11.600,8.70,0.0003,59.98,-0.90,37.08,71.72,-999.00,-999.00,0,1.51,2.02,3.70,-2.57,-2.99,-1.72,-0.60,36.30,37.82,37.07,36.43,37.38,72.29,71.16,71.03,63.50,82.06,83.79,74.07,74.61,72.76,89.85,72.75,13.24,0.23,35.45,38.98,37.58,35.70,35.13,35.97,0,1,2,36.81,0.04,2.74,38.97,72.48,36.32,0,30.00,50.00,1.00,50.00,2.00,60.00,-999.00,0,0,1.00,0,1.00,0,2.10,2.00,0.10,16.00,0,37.76,34.16,-0.04,-4.36,37.40,35.42,37.40
0:04:53,2,0.63,114.8,8.680,6.21,0.0012,59.99,-0.73,37.10,71.81,-999.00,-999.00,0,1.70,2.25,4.00,-2.37,-2.79,-1.63,-0.51,36.33,37.85,37.07,36.43,37.39,72.31,71.31,71.59,76.88,60.48,95.14,75.02,74.56,74.29,89.26,81.77,13.49,0.43,35.38,38.90,37.56,35.70,35.13,36.01,0,1,2,36.89,0.19,2.02,39.05,72.50,36.32,0,80.00,80.00,1.00,60.00,2.00,60.00,-999.00,0,0,1.00,0,1.00,0,2.20,2.10,0.10,16.00,0,37.76,34.16,-0.04,-4.36,37.40,35.42,41.26
0:05:48,2,0.62,114.9,8.170,5.85,0.0020,60.01,-0.56,37.12,71.86,-999.00,-999.00,0,1.93,2.36,4.19,-2.09,-2.56,-1.43,-0.50,36.39,37.91,37.07,36.43,37.40,72.39,71.34,72.88,84.03,21.47,103.25,80.55,76.09,81.11,89.79,93.73,12.87,0.65,34.94,38.87,37.58,35.70,34.99,35.52,0,1,2,37.04,0.38,-1.00,39.56,72.50,36.32,0,80.00,80.00,1.00,60.00,2.00,60.00,-999.00,0,0,1.00,0,1.00,0,2.40,2.30,0.10,16.00,0,37.76,34.16,-0.04,-4.36,37.40,35.42,46.40
0:06:33,2,0.62,114.8,7.900,5.69,0.0028,60.00,-0.40,37.12,71.93,-999.00,-999.00,0,1.99,1.97,4.40,-1.96,-2.42,-1.33,-0.50,36.40,37.88,37.07,36.42,37.40,72.49,71.45,73.53,84.60,48.47,104.61,82.53,77.03,82.81,90.35,96.89,11.84,0.79,34.53,38.89,37.57,35.69,34.76,35.09,0,1,2,37.04,0.65,-4.61,40.08,72.50,36.32,0,80.00,80.00,1.00,60.00,2.00,60.00,-999.00,0,0,1.00,0,1.00,0,2.60,2.50,0.10,16.00,0,37.76,34.16,-0.04,-4.36,37.40,35.42,46.40
