TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,FCBASKET1,FCBASKET2,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,FC Basket 1,FC Basket 2,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT
0:00:06,2,0.63,115.2,21.70,15.69,0.00000,59.99,35.96,68.35,74.18,-999.00,-999.00,0.000000,0.14,18.83,28.50,27.56,35.24,34.80,53.68,67.88,68.86,68.32,69.32,68.60,74.28,74.07,123.44,119.04,94.07,176.38,112.81,82.78,119.51,148.34,162.70,18.33,26.16,35.31,37.82,0.0,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:54,2,0.63,115.3,21.60,15.71,0.00225,60.02,35.84,68.33,74.21,-999.00,-999.00,0,0.16,18.74,28.28,27.28,34.99,34.54,53.46,67.85,68.81,68.24,69.30,68.59,74.30,74.12,123.45,118.99,94.06,176.37,112.86,82.81,119.40,148.33,162.66,18.22,26.30,35.17,37.65,0,4,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:01:41,2,0.63,115.3,21.60,15.65,0.00439,60.01,35.55,68.25,74.18,-999.00,-999.00,0,0.04,18.46,28.01,26.99,34.52,34.26,53.19,67.76,68.72,68.13,69.20,68.49,74.29,74.07,123.29,118.91,94.17,176.29,112.80,82.85,119.36,148.28,162.50,18.02,28.50,34.89,37.36,0,4,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:02:35,2,0.63,115.3,21.60,15.62,0.00653,60.00,35.27,68.18,74.19,-999.00,-999.00,0,-0.10,18.15,27.81,26.76,34.22,34.03,52.90,67.64,68.69,68.10,69.14,68.40,74.32,74.11,123.09,118.67,94.17,176.23,112.60,82.88,119.18,148.30,162.42,17.79,28.25,34.61,37.02,0,4,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:03:23,2,0.63,115.3,21.20,15.39,0.00876,60.00,35.00,68.09,74.23,-999.00,-999.00,0,-0.55,17.70,27.59,26.49,33.88,33.72,52.59,67.55,68.56,67.97,69.08,68.31,74.33,74.12,122.85,118.37,94.18,176.02,112.40,82.88,119.03,148.30,162.36,17.56,27.77,34.36,36.73,0,4,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:04:16,2,0.63,115.3,21.00,15.29,0.01086,60.02,34.70,68.00,74.26,-999.00,-999.00,0,-1.62,15.77,27.32,26.22,33.62,33.40,52.28,67.51,68.51,67.89,69.00,68.17,74.39,74.17,122.03,117.58,94.30,175.57,112.07,82.90,118.80,148.22,161.81,17.22,27.30,34.01,36.41,0,4,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:05:01,2,0.63,115.0,21.50,15.45,0.01305,60.01,34.41,67.92,74.27,-999.00,-999.00,0,-1.73,14.40,27.07,25.94,33.23,33.12,52.02,67.41,68.43,67.78,68.93,68.08,74.39,74.18,121.31,116.78,94.31,175.39,111.45,82.94,118.42,148.18,161.37,16.74,26.85,33.75,36.11,0,4,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:05:52,2,0.63,114.8,21.50,15.57,0.01518,59.99,34.12,67.84,74.24,-999.00,-999.00,0,-1.02,15.23,26.85,25.65,32.86,32.83,51.72,67.34,68.32,67.72,68.83,67.97,74.36,74.12,121.34,116.83,94.22,175.61,111.16,83.06,117.81,148.16,161.69,16.25,26.40,33.46,35.80,0,4,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:06:45,2,0.63,114.8,21.40,15.52,0.01740,60.01,33.83,67.75,74.25,-999.00,-999.00,0,-0.91,15.86,26.56,25.37,32.53,32.56,51.39,67.23,68.25,67.61,68.75,67.87,74.37,74.12,121.53,117.06,94.13,175.66,111.21,83.21,117.71,148.15,162.01,15.96,25.99,33.20,35.50,0,4,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
