TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Pantry 1 CTR,Pantry 2 RT Rear,Pantry 3 FT Right,Pantry 4 FT Left,Pantry 5 Rear CTR,FC Basket 1,FC Basket 2,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT
0:00:13,2,0.60,103.6,16.40,10.25,0.00000,60.02,-1.55,37.27,89.04,-999.00,-999.00,0.000000,-18.17,-15.52,-1.56,-1.28,-2.33,-1.04,-999.00,34.86,38.78,38.16,39.01,43.81,88.92,89.17,113.50,113.06,94.84,160.82,112.87,92.64,112.74,143.65,146.47,7.04,-2.22,36.03,40.01,40.44,42.29,39.76,-1.10,0.50,84.9,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:01:00,2,0.60,103.6,16.60,10.33,0.00146,59.99,-1.56,37.27,89.06,-999.00,-999.00,0,-17.47,-15.43,-1.56,-1.33,-2.33,-1.04,-999,34.86,38.78,38.16,39.02,43.81,88.93,89.17,113.77,113.33,94.72,161.22,113.10,92.67,112.98,143.63,146.93,7.11,-2.21,35.95,40.01,40.45,42.29,39.75,-1.10,0.50,84.9,1,2,34.58,0.14,-17.32,33.24,85.64,49.10,0,80.00,80.00,2.00,117.00,2.00,20.00,-999.00,0,0,1.00,1.00,1.00,0,7.80,7.70,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:01:53,2,0.60,103.6,16.80,10.44,0.00287,60.02,-1.56,37.27,89.06,-999.00,-999.00,0,-16.59,-13.12,-1.50,-1.33,-2.33,-1.04,-999,34.86,38.78,38.16,39.01,43.81,88.93,89.17,114.20,113.75,94.48,161.74,113.48,92.72,113.39,143.65,147.68,7.39,-2.17,35.80,40.01,40.45,42.28,39.75,-1.10,0.50,84.9,1,2,34.52,0.14,-16.06,32.36,85.64,49.10,0,80.00,80.00,2.00,117.00,2.00,20.00,-999.00,0,0,1.00,1.00,1.00,0,7.80,7.70,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:02:38,2,0.60,103.6,16.30,10.23,0.00435,60.01,-1.56,37.27,89.06,-999.00,-999.00,0,-16.39,-10.74,-1.48,-1.36,-2.35,-1.04,-999,34.85,38.77,38.16,39.02,43.81,88.92,89.17,114.37,113.97,94.47,161.79,113.73,92.79,113.63,143.67,147.92,7.31,-2.05,35.65,40.01,40.44,42.28,39.74,-1.09,0.50,85.0,1,2,34.27,0.12,-14.51,31.85,85.54,49.10,0,80.00,80.00,2.00,117.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,7.80,7.70,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:03:33,2,0.60,103.6,16.20,10.09,0.00573,59.99,-1.55,37.26,89.06,-999.00,-999.00,0,-17.05,-10.49,-1.45,-1.36,-2.33,-1.04,-999,34.86,38.78,38.16,39.01,43.80,88.92,89.17,114.11,113.77,94.69,161.25,113.62,92.73,113.48,143.64,147.36,7.38,-2.12,35.71,40.01,40.44,42.27,39.73,-1.09,0.50,85.0,1,2,34.09,0.12,-13.65,31.95,85.53,49.10,0,80.00,80.00,2.00,117.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,7.80,7.70,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:04:21,2,0.60,103.6,16.50,10.26,0.00718,60.00,-1.55,37.26,89.06,-999.00,-999.00,0,-17.29,-11.43,-1.45,-1.36,-2.34,-1.04,-999,34.83,38.78,38.15,39.01,43.80,88.94,89.18,113.94,113.58,94.84,161.11,113.43,92.73,113.31,143.54,147.06,7.42,-2.09,35.76,39.99,40.43,42.27,39.73,-1.08,0.50,85.0,1,2,33.88,0.12,-13.61,32.03,85.48,49.10,0,80.00,80.00,2.00,117.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,7.80,7.70,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:05:12,2,0.60,103.6,16.00,10.03,0.00856,60.02,-1.55,37.24,89.05,-999.00,-999.00,0,-17.52,-14.42,-1.42,-1.37,-2.36,-1.04,-999,34.83,38.75,38.12,39.01,43.79,88.97,89.20,113.83,113.48,94.90,160.95,113.35,92.66,113.20,143.51,146.78,7.29,-2.14,35.81,39.98,40.43,42.27,39.73,-1.09,0.50,84.9,1,2,33.80,0.14,-14.76,32.34,85.46,49.10,0,80.00,80.00,2.00,117.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,7.80,7.70,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:06:01,2,0.60,103.6,16.10,10.07,0.01000,59.99,-1.55,37.22,89.06,-999.00,-999.00,0,-17.57,-12.36,-1.40,-1.36,-2.38,-1.04,-999,34.83,38.75,38.10,39.01,43.78,88.94,89.16,113.79,113.42,94.90,160.78,113.28,92.63,113.14,143.39,146.61,7.42,-2.13,35.87,39.96,40.43,42.26,39.73,-1.09,0.50,84.8,1,2,33.66,0.14,-14.98,32.66,85.46,49.10,0,80.00,80.00,2.00,117.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,7.80,7.70,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
0:06:48,2,0.60,103.6,16.20,10.06,0.01137,60.00,-1.55,37.21,89.04,-999.00,-999.00,0,-17.60,-13.48,-1.38,-1.40,-2.38,-1.04,-999,34.77,38.75,38.10,39.01,43.78,88.94,89.15,113.74,113.39,94.85,160.73,113.26,92.62,113.11,143.43,146.56,7.56,-2.16,35.89,39.95,40.43,42.24,39.73,-1.09,0.50,84.7,1,2,33.46,0.14,-15.23,32.97,85.46,49.10,0,80.00,80.00,2.00,117.00,1.00,20.00,-999.00,0,0,1.00,1.00,0,0,7.80,7.70,0.10,16.00,0,35.42,32.00,-6.16,-12.46,33.80,32.00
