TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Pantry 1 CTR,Pantry 2 RT Rear,Pantry 3 FT Right,Pantry 4 FT Left,Pantry 5 Rear CTR,FC Basket 1,FC Basket 2,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT,W Dispensing Heater
0:00:08,2,0.60,103.7,20.80,12.96,0.00000,60.01,11.51,43.18,88.94,-999.00,-999.00,0,-11.69,-2.77,13.88,4.52,16.71,7.13,15.29,41.87,44.36,43.30,44.14,45.77,88.77,89.12,114.56,120.58,104.60,174.77,115.79,93.75,116.32,153.77,165.00,-0.91,-0.85,37.74,46.34,47.17,47.44,45.43,7.73,5.97,84.9,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:54,2,0.60,103.7,20.90,12.94,0.00176,59.98,11.42,43.15,88.92,-999.00,-999.00,0,-11.72,-2.82,13.74,4.40,16.54,6.97,15.20,41.78,44.27,43.29,44.14,45.80,88.76,89.10,114.56,120.64,104.55,174.86,115.78,93.79,116.32,153.79,165.09,-0.94,-0.87,37.79,46.33,47.18,47.45,45.43,7.68,5.96,84.8,1,2,35.28,2.30,-7.19,32.72,88.54,47.30,0,85.00,80.00,2.00,145.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.70,9.60,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,47.30
0:01:43,2,0.60,103.7,20.70,12.82,0.00360,60.02,11.33,43.12,88.92,-999.00,-999.00,0,-11.77,-2.89,13.66,4.31,16.43,6.86,15.09,41.75,44.27,43.24,44.14,45.79,88.74,89.07,114.48,120.55,104.53,174.69,115.72,93.71,116.26,153.75,164.88,-1.03,-0.94,37.83,46.33,47.17,47.42,45.39,7.57,5.84,84.8,1,2,35.24,2.17,-7.24,32.79,88.52,47.30,0,85.00,80.00,2.00,142.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.50,9.40,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,47.30
0:02:37,2,0.60,103.7,20.50,12.70,0.00534,59.99,11.21,43.08,88.92,-999.00,-999.00,0,-11.76,-2.90,13.57,4.20,16.34,6.76,15.00,41.73,44.25,43.24,44.14,45.79,88.74,89.07,114.41,120.42,104.54,174.60,115.64,93.67,116.16,153.69,164.67,-1.08,-1.02,37.86,46.31,47.15,47.40,45.37,7.47,5.74,84.9,1,2,35.16,2.10,-7.24,32.94,88.52,47.30,0,85.00,80.00,2.00,141.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.40,9.30,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,47.30
0:03:27,2,0.60,103.6,20.40,12.75,0.00715,59.99,11.13,43.06,88.92,-999.00,-999.00,0,-11.80,-2.95,13.52,4.12,16.20,6.66,14.90,41.70,44.24,43.21,44.14,45.79,88.74,89.07,114.34,120.31,104.56,174.41,115.56,93.65,116.11,153.64,164.60,-1.17,-1.10,37.88,46.28,47.16,47.39,45.37,7.35,5.62,84.9,1,2,35.06,1.94,-7.26,33.06,88.52,47.30,0,85.00,80.00,2.00,141.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.40,9.30,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,47.30
0:04:13,2,0.60,103.6,20.30,12.57,0.00887,59.98,11.03,43.04,88.91,-999.00,-999.00,0,-11.90,-2.98,13.40,3.98,16.08,6.57,14.81,41.62,44.19,43.14,44.13,45.78,88.74,89.09,114.28,120.22,104.59,174.27,115.50,93.65,116.02,153.55,164.25,-1.24,-1.14,37.93,46.27,47.12,47.39,45.35,7.24,5.53,84.8,1,2,35.06,1.86,-7.34,33.15,88.52,47.30,0,80.00,80.00,2.00,139.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.30,9.20,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.65
0:05:06,2,0.60,103.6,20.00,12.40,0.01065,60.00,10.95,42.99,88.92,-999.00,-999.00,0,-12.25,-3.28,13.41,3.93,16.01,6.46,14.73,41.60,44.18,43.16,44.13,45.80,88.75,89.07,114.14,120.01,104.61,173.95,115.38,93.66,115.88,153.48,163.93,-1.29,-1.24,37.97,46.26,47.11,47.39,45.35,7.14,5.42,84.9,1,2,35.06,1.76,-7.49,33.26,88.52,47.30,0,80.00,80.00,2.00,139.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.30,9.20,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:05:54,2,0.60,103.7,19.50,12.20,0.01233,59.99,10.86,42.97,88.92,-999.00,-999.00,0,-12.40,-3.50,13.37,3.83,15.89,6.38,14.67,41.57,44.15,43.12,44.12,45.78,88.75,89.08,113.99,119.81,104.65,173.74,115.25,93.63,115.76,153.38,163.60,-1.39,-1.34,38.00,46.24,47.11,47.38,45.31,7.02,5.33,84.9,1,2,35.06,1.76,-7.73,33.26,88.52,47.30,0,80.00,80.00,2.00,139.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.10,9.00,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
0:06:44,2,0.60,103.7,19.60,12.16,0.01398,60.03,10.78,42.93,88.92,-999.00,-999.00,0,-12.41,-3.61,13.31,3.75,15.76,6.29,14.56,41.56,44.13,43.09,44.11,45.79,88.75,89.08,113.86,119.61,104.65,173.41,115.12,93.56,115.61,153.28,163.19,-1.53,-1.44,38.03,46.21,47.10,47.37,45.27,6.92,5.22,84.8,1,2,35.06,1.76,-7.96,33.26,88.52,47.30,0,80.00,80.00,2.00,136.00,1.00,60.00,-999.00,0,0,1.00,1.00,0,0,9.10,9.00,0.10,16.00,0,31.64,28.04,-6.16,-12.46,33.80,32.00,46.40
