TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,EVAPIN,EVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,CRISPER 1,CRISPER 2,AMBLEFT,AMBRIGHT,DRAINPANIN,DRAINPANOUT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,FILLTUBE,IMMOLD,PANTRY1,PANTRY2,PANTRY3,PANTRY4,PANTRY5,FCBASKET1,FCBASKET2,WTRVESSEL,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Evaporator Inlet,Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Crisper 1,Crisper 2,Ambient Left Mid,Ambient Right Mid,Drain Pan In,Drain Pan out,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Fill Tube,IM Mold,Pantry 1 CTR,Pantry 2 RT Rear,Pantry 3 FT Right,Pantry 4 FT Left,Pantry 5 Rear CTR,FC Basket 1,FC Basket 2,Water Vessel,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT
0:00:00,2,0.56,115.1,7.400,4.77,0.0000,60.00,-1.71,34.62,50.14,-999.00,-999.00,0,-17.20,-12.38,0.77,-3.13,-3.47,-2.86,0.15,33.08,34.66,36.13,37.31,36.59,50.12,50.15,66.07,63.22,55.59,84.37,60.68,51.30,62.53,70.91,75.01,-10.21,-6.77,34.84,35.04,35.31,35.55,32.74,-3.08,-2.62,39.22,68.0,-999,2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
0:00:50,2,0.56,115.0,7.420,4.78,0.0007,60.00,-1.74,34.62,50.14,-999.00,-999.00,0,-17.34,-12.45,0.60,-3.19,-3.51,-2.87,0.16,33.08,34.66,36.11,37.30,36.59,50.12,50.15,66.05,63.23,55.68,84.37,60.68,51.35,62.54,71.00,75.06,-10.28,-6.83,34.86,35.05,35.31,35.56,32.76,-3.11,-2.64,39.19,68.0,1,2,31.19,-2.83,-13.63,31.82,59.18,44.42,0,80.00,80.00,2.00,60.00,1.00,60.00,-999.00,0,0,0,1.00,0,0,0.40,25.30,0.70,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:01:40,2,0.56,115.0,7.430,4.78,0.0013,60.01,-1.81,34.60,50.14,-999.00,-999.00,0,-17.33,-12.53,0.44,-3.35,-3.58,-2.92,0.16,33.07,34.61,36.10,37.29,36.59,50.12,50.15,66.08,63.23,55.73,84.52,60.70,51.36,62.55,71.14,75.12,-10.43,-6.96,34.86,35.08,35.32,35.55,32.83,-3.16,-2.66,39.16,68.1,1,2,31.10,-2.92,-13.68,31.94,59.18,44.42,0,80.00,80.00,2.00,60.00,1.00,60.00,-999.00,0,0,0,1.00,0,0,0.30,25.20,0.70,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:02:30,2,0.56,115.1,7.380,4.76,0.0020,60.01,-1.88,34.57,50.13,-999.00,-999.00,0,-17.48,-12.65,0.23,-3.47,-3.63,-2.99,0.18,33.01,34.58,36.02,37.28,36.58,50.09,50.14,66.08,63.26,55.78,84.62,60.73,51.36,62.58,71.27,75.18,-10.56,-7.07,34.86,35.09,35.33,35.59,32.90,-3.21,-2.71,39.14,68.1,1,2,31.10,-3.06,-13.72,32.00,59.20,44.42,0,80.00,80.00,2.00,60.00,1.00,60.00,-999.00,0,0,0,1.00,0,0,0.20,25.10,0.70,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:03:20,2,0.56,115.0,7.400,4.77,0.0027,60.01,-1.95,34.55,50.13,-999.00,-999.00,0,-17.57,-12.76,0.11,-3.58,-3.66,-2.98,0.22,33.03,34.60,36.00,37.27,36.57,50.12,50.15,66.03,63.23,55.82,84.74,60.72,51.34,62.55,71.39,75.27,-10.70,-7.20,34.87,35.09,35.32,35.59,32.94,-3.25,-2.74,39.10,68.1,1,2,30.87,-3.26,-13.90,32.00,59.20,44.42,0,80.00,80.00,2.00,60.00,1.00,60.00,-999.00,0,0,0,1.00,0,0,0.20,25.10,0.70,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:04:10,2,0.56,115.0,7.370,4.74,0.0033,60.01,-2.03,34.51,50.13,-999.00,-999.00,0,-17.61,-12.85,-0.08,-3.67,-3.76,-3.04,0.20,32.97,34.53,35.96,37.26,36.55,50.10,50.15,66.03,63.22,55.85,84.85,60.70,51.35,62.54,71.50,75.31,-10.84,-7.32,34.89,35.11,35.34,35.61,33.01,-3.28,-2.78,39.09,68.1,1,2,30.74,-3.28,-13.94,32.00,59.27,44.42,0,80.00,80.00,2.00,60.00,1.00,60.00,-999.00,0,0,0,1.00,0,0,0.10,25.00,0.70,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:05:00,2,0.56,114.9,7.380,4.74,0.0040,60.00,-2.11,34.49,50.13,-999.00,-999.00,0,-17.73,-12.96,-0.26,-3.81,-3.82,-3.10,0.19,32.96,34.52,35.93,37.23,36.53,50.09,50.14,65.95,63.17,55.83,84.82,60.71,51.30,62.50,71.61,75.32,-10.98,-7.43,34.89,35.11,35.34,35.61,33.06,-3.36,-2.82,39.05,68.1,1,2,30.59,-3.35,-14.26,32.00,59.36,44.35,0,80.00,80.00,2.00,60.00,1.00,60.00,-999.00,0,0,0,1.00,0,0,0,24.90,0.70,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:05:12,1,0.45,115.1,0.860,0.45,0.0042,60.00,-2.16,34.47,50.13,-999.00,-999.00,0,-17.73,-13.01,-0.32,-3.84,-3.82,-3.11,0.20,32.97,34.53,35.91,37.21,36.54,50.10,50.15,65.85,63.18,55.86,84.84,60.69,51.31,62.51,71.71,75.36,-11.04,-7.52,34.89,35.12,35.37,35.62,33.11,-3.37,-2.83,39.06,68.0,1,2,30.56,-3.46,-14.26,32.06,59.36,44.24,0,80.00,80.00,2.00,60.00,1.00,60.00,-999.00,0,0,0,1.00,0,0,0,24.90,0.70,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
0:06:03,1,0.46,115.1,0.890,0.47,0.0042,60.03,-2.24,34.44,50.11,-999.00,-999.00,0,-14.32,-12.85,-0.53,-3.96,-3.88,-3.14,0.19,32.95,34.48,35.88,37.19,36.52,50.09,50.14,61.48,60.61,56.88,79.80,60.34,51.12,60.44,72.27,73.85,-11.06,-7.59,34.90,35.12,35.37,35.62,33.15,-3.40,-2.84,39.03,68.0,1,2,30.38,-3.55,-14.08,32.18,59.22,44.24,0,80.00,0,1.00,0,1.00,60.00,-999.00,0,0,0,0,0,0,0,24.90,0.70,8.00,257.00,33.98,30.38,-0.04,-4.36,33.80,32.00
