log_id,log_status,log_usage
Pre Processed - 136094.csv,door opening,Good
Pre Processed - 142902.csv,steady state defrost,Good
Pre Processed - 142944.csv,steady state defrost,Good
Pre Processed - 142945.csv,steady state defrost,Good
Pre Processed - 142946.csv,weird,REMOVE
Pre Processed - 142947.csv,door opening,Good
Pre Processed - 142951.csv,pulldown defrost,Good
Pre Processed - 142954.csv,door opening,Good
Pre Processed - 142958.csv,steady state,Good
Pre Processed - 142983.csv,steady state,Good
Pre Processed - 142989.csv,steady state,Good
Pre Processed - 142990.csv,pulldown defrost,Good
Pre Processed - 142991.csv,steady state defrost,Good
Pre Processed - 142992.csv,steady state defrost,Good
Pre Processed - 142993.csv,weird,REMOVE
Pre Processed - 142995.csv,door opening,Good
Pre Processed - 143002.csv,load,Good
Pre Processed - 143003.csv,steady state,Good
Pre Processed - 143004.csv,steady state,Good
Pre Processed - 143017.csv,error,REMOVE
Pre Processed - 143029.csv,steady state,Good
Pre Processed - 143034.csv,door opening,Good
Pre Processed - 143035.csv,door opening,Good
Pre Processed - 143038.csv,steady state,Good
Pre Processed - 143043.csv,steady state,Good
Pre Processed - 143047.csv,steady state defrost,Good
Pre Processed - 143048.csv,weird,REMOVE
Pre Processed - 143049.csv,door opening,Good
Pre Processed - 143050.csv,door opening,Good
Pre Processed - 143051.csv,door opening,Good
Pre Processed - 143056.csv,load,Good
Pre Processed - 143083.csv,steady state defrost,Good
Pre Processed - 143100.csv,steady state defrost,Good
Pre Processed - 143117.csv,steady state defrost,Good
Pre Processed - 143118.csv,steady state defrost,Good
Pre Processed - 143121.csv,steady state defrost,Good
Pre Processed - 143122.csv,steady state defrost,Good
Pre Processed - 143123.csv,door opening,Good
Pre Processed - 143124.csv,door opening,Good
Pre Processed - 143128.csv,pulldown,Good
Pre Processed - 143134.csv,pulldown defrost,Good
Pre Processed - 143142.csv,error,REMOVE
Pre Processed - 143152.csv,steady state defrost,Good
Pre Processed - 143154.csv,steady state defrost,Good
Pre Processed - 143155.csv,steady state defrost,Good
Pre Processed - 143156.csv,door opening,Good
Pre Processed - 143158.csv,error,REMOVE
Pre Processed - 143159.csv,steady state,Good
Pre Processed - 143160.csv,steady state defrost,Good
Pre Processed - 143174.csv,steady state,Good
Pre Processed - 143175.csv,steady state,Good
